#test case: FRUITY database models from Straniero et al. 2014 
#modelname                         mass             Z   remnantmass      lifetime
[stellarmodels]
7
A:m1p5z3m4                         1.50      3.00e-04         0.647  1.850000e+09
B:m2p0z3m4                         2.00      3.00e-04         0.669  8.460000e+08
C:m2p5z3m4                         2.50      3.00e-04         0.725  4.920000e+08
D:m3p0z3m4                         3.00      3.00e-04         0.823  3.020000e+08
E:m4p0z3m4                         4.00      3.00e-04         0.887  1.480000e+08
F:m5p0z3m4                         5.00      3.00e-04         0.955  8.930000e+07
G:m6p0z3m4                         6.00      3.00e-04         1.059  6.060000e+07

#species      type             A             B             C             D             E             F             G
[yields]
p         absolute  5.999900e-01  9.362400e-01  1.284700e+00  1.591400e+00  2.156900e+00  2.703100e+00  3.240700e+00
he4       absolute  2.452900e-01  3.807100e-01  4.763600e-01  5.741900e-01  9.433800e-01  1.328800e+00  1.689800e+00
c12       absolute  6.467400e-03  1.194700e-02  1.195500e-02  8.908600e-03  1.014400e-02  1.010200e-02  5.054000e-03
c13       absolute  1.349100e-06  1.909700e-06  2.789800e-06  1.581100e-05  2.936000e-05  7.917300e-05  2.458700e-04
c14       absolute  1.779000e-10  9.530600e-10  1.929800e-09  1.862500e-09  1.746000e-09  1.037900e-09  5.753300e-10
n14       absolute  4.773800e-05  7.876500e-05  8.913800e-05  1.167700e-04  2.558900e-04  4.478400e-04  1.830000e-03
n15       absolute  3.080800e-08  3.371900e-08  4.262500e-08  5.298600e-08  6.709100e-08  7.683100e-08  7.231600e-08
o16       absolute  5.386500e-04  8.106200e-04  1.004200e-03  1.098200e-03  1.417200e-03  1.731300e-03  1.853100e-03
o17       absolute  1.885100e-06  7.496900e-06  4.498500e-06  5.843600e-06  1.188500e-05  1.527300e-05  1.350700e-05
o18       absolute  1.703700e-07  2.408600e-07  3.257300e-07  3.982400e-07  5.072400e-07  6.165600e-07  5.836600e-07
f18       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
f19       absolute  5.664300e-07  1.279600e-06  1.334900e-06  7.423200e-07  3.244300e-07  1.160500e-07  3.755800e-08
ne20      absolute  6.286100e-05  9.938400e-05  1.317100e-04  1.600000e-04  2.221900e-04  2.834000e-04  3.417500e-04
ne21      absolute  1.516200e-07  3.271600e-07  4.437200e-07  3.907000e-07  5.049700e-07  6.612600e-07  7.170200e-07
ne22      absolute  2.971700e-04  6.765500e-04  5.633600e-04  2.520000e-04  1.827600e-04  1.023400e-04  3.298900e-05
na22      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.084100e-11
na23      absolute  2.522000e-06  6.421900e-06  7.710700e-06  5.893800e-06  1.500400e-05  2.546500e-05  3.576400e-05
na24      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
mg24      absolute  3.492200e-05  5.719300e-05  6.814500e-05  8.077600e-05  1.141000e-04  1.483900e-04  1.807200e-04
mg25      absolute  2.922400e-06  1.137200e-05  1.879700e-05  1.511100e-05  1.973200e-05  2.130800e-05  1.651500e-05
mg26      absolute  2.811200e-06  1.066600e-05  2.378900e-05  2.259400e-05  3.662400e-05  4.561700e-05  2.778900e-05
al26      absolute  1.067200e-08  2.279900e-08  2.378400e-08  7.521800e-09  8.706800e-09  8.131300e-09  3.652500e-07
al27      absolute  1.433600e-06  3.084900e-06  5.875100e-06  4.386400e-06  5.121100e-06  6.663000e-06  8.164900e-06
si28      absolute  4.075300e-05  6.380200e-05  8.691100e-05  1.076000e-04  1.526300e-04  1.965400e-04  2.379100e-04
si29      absolute  7.230700e-07  1.200200e-06  1.787600e-06  2.297100e-06  3.268100e-06  3.993600e-06  4.372900e-06
