# Minitial =  1.25 msun, Z = 0.0016, Mfinal = 0.646 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1  -1.4713634E-42 -1.4713634E-42  0.0000000E+00 -2.4354567E-42  0.0000000E+00  0.0000000E+00
      p      1  -1.6851157E-02  4.4736320E-01  4.6421435E-01  7.4066758E-01  7.6864678E-01 -1.6103487E-02
      d      2   2.5945504E-18  2.5945504E-18  0.0000000E+00  4.2956134E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.8281971E-04  1.8282048E-04  7.6825479E-10  3.0268292E-04  1.2720773E-09  5.3764744E+00
    he4      4   1.6044453E-02  1.5477726E-01  1.3873281E-01  2.5625375E-01  2.2971398E-01  4.7482792E-02
    li7      7  -9.4301844E-11  3.1478600E-10  4.0908785E-10  5.2116889E-10  6.7736822E-10 -1.1384634E-01
    be7      7   5.1253810E-12  5.1253810E-12  0.0000000E+00  8.4857303E-12  0.0000000E+00  0.0000000E+00
     b8      8   2.7615599E-25  2.7615599E-25  0.0000000E+00  4.5721195E-25  0.0000000E+00  0.0000000E+00
    c12     12   5.0758536E-04  6.3549250E-04  1.2790717E-04  1.0521399E-03  2.1178889E-04  6.9617033E-01
    c13     13   2.9255013E-06  2.9257842E-06  2.8281683E-10  4.8440138E-06  4.6828852E-10  4.0146918E+00
    c14     14   3.5382066E-09  3.5382066E-09  0.0000000E+00  5.8579581E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.7513346E-05  4.7601032E-05  8.7684924E-08  7.8809659E-05  1.4518884E-07  2.7346463E+00
    n15     15   5.6303655E-09  5.6332254E-09  2.8601184E-12  9.3265324E-09  4.7357882E-12  3.2943280E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.7540238E-05  6.5117166E-04  6.3363143E-04  1.0780988E-03  1.0491678E-03  1.1813587E-02
    o17     17   4.1483185E-07  4.1486643E-07  3.4581130E-11  6.8686501E-07  5.7259482E-11  4.0790238E+00
    o18     18   2.3090159E-09  2.3722555E-09  6.3239691E-11  3.9275756E-09  1.0471237E-10  1.5741266E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
