# Minitial =  6.50 msun, Z = 0.0016, Mfinal = 1.046 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -6.4794207E-01  3.5440059E+00  4.1919479E+00  6.4979941E-01  7.6864678E-01 -7.2947510E-02
      d      2   2.3560954E-17  2.3560954E-17  0.0000000E+00  4.3199404E-18  0.0000000E+00  0.0000000E+00
    he3      3   8.0833860E-07  8.1527611E-07  6.9374941E-09  1.4948223E-07  1.2720773E-09  2.0700760E+00
    he4      4   6.1230981E-01  1.8650947E+00  1.2527848E+00  3.4196821E-01  2.2971398E-01  1.7279834E-01
    li7      7  -3.6727079E-09  2.1436962E-11  3.6941448E-09  3.9305026E-12  6.7736822E-10 -2.2363768E+00
    be7      7   4.4620273E-11  4.4620273E-11  0.0000000E+00  8.1812014E-12  0.0000000E+00  0.0000000E+00
     b8      8   3.0647694E-20  3.0647694E-20  0.0000000E+00  5.6193061E-21  0.0000000E+00  0.0000000E+00
    c12     12   4.1624077E-04  1.5712681E-03  1.1550273E-03  2.8809463E-04  2.1178889E-04  1.3363197E-01
    c13     13   3.6876462E-04  3.6876719E-04  2.5538924E-09  6.7614077E-05  4.6828852E-10  5.1595235E+00
    c14     14   4.4328458E-11  4.4328458E-11  0.0000000E+00  8.1276964E-12  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.8510796E-02  3.8511589E-02  7.9181234E-07  7.0611644E-03  1.4518884E-07  4.6869431E+00
    n15     15   3.3480746E-06  3.3481006E-06  2.5827439E-11  6.1387982E-07  4.7357882E-12  5.1126909E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -4.4481619E-03  1.2736563E-03  5.7218182E-03  2.3352700E-04  1.0491678E-03 -6.5250790E-01
    o17     17   6.5316913E-06  6.5320037E-06  3.1227448E-10  1.1976538E-06  5.7259482E-11  4.3204837E+00
    o18     18   8.1019907E-10  1.3812661E-09  5.7106703E-10  2.5325744E-10  1.0471237E-10  3.8356423E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   4.8746830E-40  4.8746830E-40  0.0000000E+00  8.9377619E-41  0.0000000E+00  0.0000000E+00
    f19     19   4.1976947E-10  4.4277446E-10  2.3004992E-11  8.1183435E-11  4.2182564E-12  1.2843344E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.7413753E-05  5.3554418E-04  5.1813043E-04  9.8192919E-05  9.5005780E-05  1.4330149E-02
