#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-04-09T04:55:02 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51639e377e2d 
#INFO -out.max=unlimited 
#INFO queryParameters=17 
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/199/38&tab:{J/ApJS/199/38/table2}&key:source=J/ApJS/199/38/table2&HTTPPRM:&-ref=VIZ51639e377e2d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-source=J/ApJS/199/38/table2
#-order=I
#-out=Param
#-out=M13
#-out=M15
#-out=M20
#-out=M25
#-out=M30
#-out=M35
#-out=M50
#-out=M80
#

#RESOURCE=yCat_21990038
#Name: J/ApJS/199/38
#Title: Presupernova evolution (Limongi+, 2012)
#Table J_ApJS_199_38_table2:
#Name: J/ApJS/199/38/table2
#Title: Explosion properties and ejected masses for all the computed models
#---Details of Columns:
    Param (A6)    Explosion property or isotope ejected mass (1) [ucd=meta.note]
    M13   (E9.2)  Param value in the 13 solar mass model [ucd=phys.mass]
    M15   (E9.2)  Param value in the 15 solar mass model [ucd=phys.mass]
    M20   (E9.2)  Param value in the 20 solar mass model [ucd=phys.mass]
    M25   (E9.2)  Param value in the 25 solar mass model [ucd=phys.mass]
    M30   (E9.2)  Param value in the 30 solar mass model [ucd=phys.mass]
    M35   (E9.2)  Param value in the 35 solar mass model [ucd=phys.mass]
    M50   (E9.2)  Param value in the 50 solar mass model [ucd=phys.mass]
    M80   (E9.2)  Param value in the 80 solar mass model [ucd=phys.mass]
                 
#Param	M13	  M15       M20       M25       M30       M35       M50       M80
------	--------- --------- --------- --------- --------- --------- --------- ---------
M_Fe_   1.34e+00  1.40e+00  1.40e+00  1.36e+00  1.46e+00  1.50e+00  1.56e+00  2.08e+00
E_kin_  5.00e-01  7.40e-01  9.70e-01  1.10e+00  1.58e+00  1.28e+00  2.59e+00  5.22e+00
M_cut_  1.48e+00  1.62e+00  1.72e+00  1.58e+00  1.86e+00  1.70e+00  2.16e+00  2.44e+00
^1^H    7.05e+00  8.01e+00  1.01e+01  2.74e+00  3.58e+00  1.16e+01  2.00e+01  2.87e+01
^2^H    9.03e-17  8.29e-17  9.88e-17  1.90e-16  3.19e-16  4.67e-16  1.08e-15  1.47e-14
^3^H    1.33e-29  6.99e-29  8.66e-28  8.70e-27  2.54e-25  2.50e-25  1.04e-24  6.68e-22
^3^He   3.12e-05  3.04e-05  2.93e-05  2.81e-05  2.79e-05  2.78e-05  2.81e-05  3.00e-05
^4^He   4.11e+00  4.71e+00  6.29e+00  7.79e+00  9.31e+00  1.07e+01  1.54e+01  2.43e+01
^6^Li   1.08e-19  3.04e-19  1.43e-18  5.27e-18  5.07e-17  3.04e-17  8.60e-17  6.32e-16
^7^Li   8.39e-17  1.62e-16  2.88e-16  3.96e-14  4.20e-14  6.96e-15  7.18e-15  2.85e-14
^7^Be   4.27e-11  1.33e-10  2.47e-10  2.88e-10  2.87e-10  2.94e-10  3.25e-10  3.72e-10
^9^Be   2.66e-40  4.65e-39  7.08e-38  4.35e-36  4.69e-33  2.70e-34  1.70e-33  3.25e-31
^10^Be  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
^10^B   2.47e-23  1.63e-22  1.12e-21  7.67e-21  1.39e-18  1.21e-19  8.91e-19  3.99e-17
^11^B   3.93e-16  1.36e-15  7.56e-15  7.30e-14  2.20e-13  1.79e-13  9.02e-13  2.23e-12
^12^C   7.52e-02  1.56e-01  2.99e-01  4.39e-01  6.99e-01  6.21e-01  1.44e+00  2.43e+00
