 #Dredge-up number =   1
 #ele   Z  Mass    e(X)   [X/H]   [X/Fe]
  p   1   1.008  12.000   0.000   0.000
 he   2   4.003  10.903  -0.027   0.000
 li   3   6.941   1.318  -1.952  -0.559
  c   6  12.011   7.171  -1.389   0.003
  n   7  14.007   7.046  -1.004   0.389
  o   8  15.999   7.927  -1.003   0.389
  f   9  18.998   0.620  -3.860  -2.467
 ne  10  20.180   6.797  -1.293   0.100
 na  11  22.990   4.654  -1.676  -0.283
 mg  12  24.305   6.488  -1.092   0.301
 al  13  26.982   4.394  -2.086  -0.693
 si  14  28.086   6.758  -0.792   0.601
  p  15  30.974   2.878  -2.692  -1.299
  s  16  32.065   6.279  -0.991   0.401
 fe  26  55.845   6.117  -1.393   0.000
 co  27  58.933   3.528  -1.392   0.001
 ni  28  58.693   4.838  -1.392   0.000
 cu  29  63.546   2.295  -1.915  -0.522
 zn  30  65.409   3.208  -1.392   0.001
 ga  31  69.723   1.946  -1.172   0.221
 ge  32  72.640   2.382  -1.194   0.199
 as  33  74.922   1.322  -1.050   0.342
 se  34  78.960   2.183  -1.145   0.248
 br  35  79.904   1.504  -1.036   0.357
 kr  36  83.798   2.086  -1.170   0.223
 rb  37  85.468   1.157  -1.146   0.246
 sr  38  87.620   1.581  -1.322   0.070
  y  39  88.906   0.972  -1.236   0.157
 zr  40  91.224   1.290  -1.279   0.113
 nb  41  92.906   0.203  -1.217   0.176
 mo  42  95.940   0.588  -1.246   0.147
 tc  43  98.000  -5.440  -9.000   0.000
 ru  44 101.070   0.471  -1.257   0.135
 rh  45 102.906   0.043  -1.034   0.358
 pd  46 106.420   0.481  -1.201   0.192
 ag  47 107.868   0.233  -1.049   0.343
 cd  48 112.411   0.525  -1.199   0.194
 in  49 114.818  -0.292  -1.082   0.310
 sn  50 118.710   0.711  -1.358   0.035
 sb  51 121.760  -0.330  -1.335   0.057
 te  52 127.600   0.621  -1.711  -0.319
  i  53 126.904   0.490  -1.005   0.388
 xe  54 131.293   1.133  -1.052   0.341
 cs  55 132.905   0.078  -1.031   0.362
 ba  56 137.327   0.975  -1.303   0.090
 la  57 138.906  -0.062  -1.252   0.140
 ce  58 140.116   0.298  -1.283   0.110
 pr  59 140.908  -0.395  -1.142   0.251
 nd  60 144.240   0.247  -1.215   0.178
 sm  62 150.360  -0.276  -1.231   0.162
 eu  63 151.964  -0.490  -0.998   0.395
 gd  64 157.250  -0.090  -1.160   0.233
 tb  65 158.925  -0.660  -1.006   0.386
 dy  66 162.500   0.130  -1.023   0.369
 ho  67 164.930  -0.519  -1.008   0.385
 er  68 167.259  -0.099  -1.097   0.295
 tm  69 168.934  -0.926  -1.034   0.358
 yb  70 173.040  -0.237  -1.155   0.238
 lu  71 174.967  -0.916  -1.047   0.346
 hf  72 178.490  -0.404  -1.140   0.253
 ta  73 180.948  -1.220  -1.102   0.291
  w  74 183.840  -0.488  -1.158   0.235
 re  75 186.207  -0.761  -1.017   0.376
 os  76 190.230   0.379  -1.013   0.380
 ir  77 192.217   0.365  -0.993   0.399
 pt  78 195.078   0.639  -1.037   0.356
 au  79 196.967  -0.195  -1.005   0.388
 hg  80 200.590  -0.136  -1.216   0.177
 tl  81 204.383  -0.439  -1.209   0.184
 pb  82 207.200   0.735  -1.268   0.125
 bi  83 208.980  -0.396  -1.096   0.297
