# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, no c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.2588444E-02  1.9688022E+00  2.0413907E+00  7.4126583E-01  7.6864678E-01 -1.5752841E-02
      d      2   1.7541602E-17  1.7541602E-17  0.0000000E+00  6.6045185E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.3930660E-04  2.3930997E-04  3.3784140E-09  9.0101639E-05  1.2720773E-09  4.8502192E+00
    he4      4   5.8857858E-02  6.6893780E-01  6.1007994E-01  2.5185910E-01  2.2971398E-01  3.9970215E-02
    li7      7   3.4337564E-08  3.6136534E-08  1.7989709E-09  1.3605622E-08  6.7736822E-10  1.3028935E+00
    be7      7   5.6478683E-10  5.6478683E-10  0.0000000E+00  2.1264564E-10  0.0000000E+00  0.0000000E+00
     b8      8   1.4977281E-24  1.4977281E-24  0.0000000E+00  5.6390361E-25  0.0000000E+00  0.0000000E+00
    c12     12   1.2662437E-02  1.3224911E-02  5.6247402E-04  4.9792584E-03  2.1178889E-04  1.3712615E+00
    c13     13   5.9057224E-05  5.9058468E-05  1.2436919E-09  2.2235869E-05  4.6828852E-10  4.6765404E+00
    c14     14   9.1369854E-09  9.1369854E-09  0.0000000E+00  3.4401300E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.2092477E-04  3.2131036E-04  3.8559600E-07  1.2097528E-04  1.4518884E-07  2.9207635E+00
    n15     15   7.2365376E-09  7.2491151E-09  1.2577420E-11  2.7293354E-09  4.7357882E-12  2.7606647E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.2293225E-04  2.9093376E-03  2.7864054E-03  1.0953831E-03  1.0491678E-03  1.8721042E-02
    o17     17   6.7794426E-06  6.7795945E-06  1.5207112E-10  2.5525580E-06  5.7259482E-11  4.6491284E+00
    o18     18   1.6552296E-09  1.9333273E-09  2.7809763E-10  7.2790934E-10  1.0471237E-10  8.4207928E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.6315286E-07  2.6316405E-07  1.1202947E-11  9.9082847E-08  4.2182564E-12  4.3708653E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.2106611E-06  2.5352929E-04  2.5231863E-04  9.5455296E-05  9.5005780E-05  2.0499823E-03
   ne21     21   5.8970681E-07  6.1943524E-07  2.9728451E-08  2.3322109E-07  1.1193682E-08  1.3187948E+00
   ne22     22   2.6067058E-04  2.6069675E-04  2.6159867E-08  9.8153891E-05  9.8499990E-09  3.9984713E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   7.4874485E-15  7.4874485E-15  0.0000000E+00  2.8190694E-15  0.0000000E+00  0.0000000E+00
   na23     23   3.2758157E-06  4.5424076E-06  1.2665918E-06  1.7102437E-06  4.7691100E-07  5.5462068E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -2.3568136E-06  1.4593644E-04  1.4829326E-04  5.4945947E-05  5.5836997E-05 -6.9863964E-03
   mg25     25   1.6622618E-05  1.6735432E-05  1.1281301E-07  6.3009907E-06  4.2477584E-08  2.1712489E+00
   mg26     26   3.3444434E-05  3.3553195E-05  1.0876262E-07  1.2632980E-05  4.0952493E-08  2.4892254E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   5.5877125E-09  5.5877125E-09  0.0000000E+00  2.1038074E-09  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.6825352E-06  3.0077658E-06  1.3252306E-06  1.1324419E-06  4.9899035E-07  3.5592374E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.4030084E-06  3.2357089E-04  3.2216788E-04  1.2182638E-04  1.2130618E-04  1.8584101E-03
