# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, with c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.2636843E-02  1.9687538E+00  2.0413907E+00  7.4124765E-01  7.6864678E-01 -1.5763469E-02
      d      2   1.7544722E-17  1.7544722E-17  0.0000000E+00  6.6056936E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.3913095E-04  2.3913433E-04  3.3784140E-09  9.0035508E-05  1.2720773E-09  4.8499002E+00
    he4      4   5.8625519E-02  6.6870546E-01  6.1007994E-01  2.5177163E-01  2.2971398E-01  3.9819371E-02
    li7      7   3.4135123E-08  3.5934093E-08  1.7989709E-09  1.3529402E-08  6.7736822E-10  1.3004538E+00
    be7      7   5.6102478E-10  5.6102478E-10  0.0000000E+00  2.1122920E-10  0.0000000E+00  0.0000000E+00
     b8      8   1.4676575E-24  1.4676575E-24  0.0000000E+00  5.5258183E-25  0.0000000E+00  0.0000000E+00
    c12     12   1.1366531E-02  1.1929005E-02  5.6247402E-04  4.4913422E-03  2.1178889E-04  1.3264730E+00
    c13     13   5.8586484E-05  5.8587728E-05  1.2436919E-09  2.2058632E-05  4.6828852E-10  4.6730652E+00
    c14     14   9.6553016E-08  9.6553016E-08  0.0000000E+00  3.6352791E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.2631322E-04  3.2669882E-04  3.8559600E-07  1.2300407E-04  1.4518884E-07  2.9279861E+00
    n15     15   9.5708375E-09  9.5834150E-09  1.2577420E-11  3.6082133E-09  4.7357882E-12  2.8818998E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.1660125E-04  3.1030066E-03  2.7864054E-03  1.1683006E-03  1.0491678E-03  4.6709657E-02
    o17     17   6.8148156E-06  6.8149675E-06  1.5207112E-10  2.5658762E-06  5.7259482E-11  4.6513882E+00
    o18     18   1.6884398E-08  1.7162495E-08  2.7809763E-10  6.4617827E-09  1.0471237E-10  1.7903544E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   5.7767448E-07  5.7768568E-07  1.1202947E-11  2.1750213E-07  4.2182564E-12  4.7123303E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.8382940E-05  2.7070157E-04  2.5231863E-04  1.0192076E-04  9.5005780E-05  3.0512651E-02
