# Minitial =  5.00 msun, Z = 0.0016, Mfinal = 0.918 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.7264256E-01  2.5647807E+00  3.1374233E+00  6.2831473E-01  7.6864678E-01 -8.7549575E-02
      d      2   1.8845810E-17  1.8845810E-17  0.0000000E+00  4.6168081E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.1831991E-06  1.1883914E-06  5.1923008E-09  2.9112971E-07  1.2720773E-09  2.3595731E+00
    he4      4   4.9937922E-01  1.4370140E+00  9.3763477E-01  3.5203677E-01  2.2971398E-01  1.8540064E-01
    li7      7  -2.7533396E-09  1.1507396E-11  2.7648470E-09  2.8190584E-12  6.7736822E-10 -2.3807209E+00
    be7      7   1.7309624E-11  1.7309624E-11  0.0000000E+00  4.2404765E-12  0.0000000E+00  0.0000000E+00
     b8      8   5.1316758E-21  5.1316758E-21  0.0000000E+00  1.2571475E-21  0.0000000E+00  0.0000000E+00
    c12     12   4.4031353E-03  5.2676043E-03  8.6446910E-04  1.2904470E-03  2.1178889E-04  7.8483701E-01
    c13     13   7.5616973E-04  7.5617165E-04  1.9114361E-09  1.8524539E-04  4.6828852E-10  5.5972338E+00
    c14     14   2.3043549E-09  2.3043549E-09  0.0000000E+00  5.6451616E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   6.6416860E-02  6.6417456E-02  5.9262436E-07  1.6270813E-02  1.4518884E-07  5.0494761E+00
    n15     15   1.6087749E-06  1.6087943E-06  1.9330300E-11  3.9411916E-07  4.7357882E-12  4.9202352E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.8417321E-03  2.4407075E-03  4.2824396E-03  5.9791957E-04  1.0491678E-03 -2.4420217E-01
