# Minitial =  2.50 msun, Z = 0.0016, Mfinal = 0.680 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.0744624E-02  1.3180959E+00  1.3988405E+00  7.2422856E-01  7.6864678E-01 -2.5851155E-02
      d      2   1.1656039E-17  1.1656039E-17  0.0000000E+00  6.4044169E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.7079179E-04  2.7079412E-04  2.3150208E-09  1.4878798E-04  1.2720773E-09  5.0680542E+00
    he4      4   5.9585065E-02  4.7763562E-01  4.1805056E-01  2.6243716E-01  2.2971398E-01  5.7837918E-02
    li7      7  -9.8952579E-10  2.4319918E-10  1.2327249E-09  1.3362593E-10  6.7736822E-10 -7.0493406E-01
    be7      7   3.0983772E-12  3.0983772E-12  0.0000000E+00  1.7024051E-12  0.0000000E+00  0.0000000E+00
     b8      8   2.8383135E-28  2.8383135E-28  0.0000000E+00  1.5595130E-28  0.0000000E+00  0.0000000E+00
    c12     12   1.7627768E-02  1.8013198E-02  3.8542916E-04  9.8973615E-03  2.1178889E-04  1.6696162E+00
    c13     13   8.3477671E-06  8.3486193E-06  8.5222618E-10  4.5871539E-06  4.6828852E-10  3.9910297E+00
    c14     14   5.2832366E-08  5.2832366E-08  0.0000000E+00  2.9028774E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.9885051E-04  1.9911473E-04  2.6422543E-07  1.0940370E-04  1.4518884E-07  2.8770988E+00
    n15     15   1.8551249E-08  1.8559868E-08  8.6185390E-12  1.0197730E-08  4.7357882E-12  3.3331113E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   4.5007071E-04  2.3594243E-03  1.9093535E-03  1.2963871E-03  1.0491678E-03  9.1889717E-02
    o17     17   1.1370446E-05  1.1370551E-05  1.0420505E-10  6.2475556E-06  5.7259482E-11  5.0378628E+00
    o18     18   8.1927194E-09  8.3832825E-09  1.9056334E-10  4.6061994E-09  1.0471237E-10  1.6433448E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   3.4003829E-06  3.4003906E-06  7.6766970E-12  1.8683465E-06  4.2182564E-12  5.6463246E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.2388256E-05  2.0528684E-04  1.7289858E-04  1.1279497E-04  9.5005780E-05  7.4539699E-02
   ne21     21   1.5631822E-06  1.5835533E-06  2.0371093E-08  8.7008425E-07  1.1193682E-08  1.8905883E+00
   ne22     22   2.4463979E-03  2.4464158E-03  1.7925760E-08  1.3441846E-03  9.8499990E-09  5.1350226E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.1471615E-23  1.1471615E-23  0.0000000E+00  6.3030854E-24  0.0000000E+00  0.0000000E+00
   na23     23   3.0801144E-05  3.1669060E-05  8.6791806E-07  1.7400584E-05  4.7691100E-07  1.5621265E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.7220693E-05  1.1883701E-04  1.0161632E-04  6.5295062E-05  5.5836997E-05  6.7958295E-02
   mg25     25   2.6261103E-05  2.6338406E-05  7.7303866E-08  1.4471652E-05  4.2477584E-08  2.5323584E+00
   mg26     26   3.2433563E-05  3.2508091E-05  7.4528387E-08  1.7861588E-05  4.0952493E-08  2.6396399E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   2.0465791E-08  2.0465791E-08  0.0000000E+00  1.1244940E-08  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.1039208E-06  2.0120206E-06  9.0809976E-07  1.1055058E-06  4.9899035E-07  3.4546888E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28  -3.0736555E-07  2.2045462E-04  2.2076198E-04  1.2112891E-04  1.2130618E-04 -6.3508452E-04
   si29     29   5.4446889E-07  6.7837061E-07  1.3390175E-07  3.7273111E-07  7.3577475E-08  7.0465076E-01
   si30     30   5.8095247E-07  6.5635447E-07  7.5401978E-08  3.6063435E-07  4.1432521E-08  9.3972570E-01
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   4.6755473E-12  4.6755473E-12  0.0000000E+00  2.5689821E-12  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   4.0877680E-07  4.4099687E-07  3.2220068E-08  2.4230599E-07  1.7704558E-08  1.1362791E+00
    p32     32   1.1935777E-15  1.1935777E-15  0.0000000E+00  6.5581198E-16  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -6.2983599E-07  8.2908926E-05  8.3538762E-05  4.5554356E-05  4.5903591E-05 -3.3167440E-03
    s33     33   6.4208976E-08  9.4731220E-08  3.0522241E-08  5.2050122E-08  1.6771621E-08  4.9184674E-01
    s34     34   2.2090873E-08  1.6317613E-07  1.4108525E-07  8.9657213E-08  7.7524717E-08  6.3145049E-02
