Isotope      A            Z            YIELD      
H            1            1            1.28470E+00  
He4          4            2            4.76360E-01  
C12          12           6            1.19550E-02  
C13          13           6            2.78980E-06  
C14          14           6            1.92980E-09  
N14          14           7            8.91380E-05  
N15          15           7            4.26250E-08  
O16          16           8            1.00420E-03  
O17          17           8            4.49850E-06  
O18          18           8            3.25730E-07  
F18          18           9            0.00000E+00  
F19          19           9            1.33490E-06  
Ne20         20           10           1.31710E-04  
Ne21         21           10           4.43720E-07  
Ne22         22           10           5.63360E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           7.71070E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           6.81450E-05  
Mg25         25           12           1.87970E-05  
Mg26         26           12           2.37890E-05  
Al26         26           13           2.37840E-08  
Al27         27           13           5.87510E-06  
Si28         28           14           8.69110E-05  
Si29         29           14           1.78760E-06  
Si30         30           14           1.52820E-06  
Si31         31           14           0.00000E+00  
Si32         32           14           5.28000E-13  
P31          31           15           4.95970E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           4.41860E-05  
S33          33           16           1.35830E-07  
S34          34           16           8.41460E-07  
S35          35           16           0.00000E+00  
S36          36           16           9.99570E-09  
Cl35         35           17           1.44120E-07  
Cl36         36           17           1.47220E-10  
Cl37         37           17           6.31800E-08  
Ar36         36           18           1.00420E-05  
Ar37         37           18           0.00000E+00  
Ar38         38           18           6.79720E-07  
Ar39         39           18           1.02000E-11  
Ar40         40           18           8.28330E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.44770E-07  
K40          40           19           5.79650E-10  
K41          41           19           1.51020E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           7.55810E-06  
Ca41         41           20           4.86740E-10  
Ca42         42           20           2.31380E-08  
Ca43         43           20           5.31150E-09  
Ca44         44           20           6.20910E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.63540E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           5.60470E-09  
Sc45         45           21           3.05740E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           9.96480E-09  
Ti47         47           22           8.84700E-09  
Ti48         48           22           8.63090E-08  
Ti49         49           22           7.77030E-09  
Ti50         50           22           1.21080E-08  
V50          50           23           3.62890E-11  
V51          51           23           1.52360E-08  
Cr50         50           24           2.88630E-08  
Cr51         51           24           0.00000E+00  
Cr52         52           24           5.87760E-07  
Cr53         53           24           6.81440E-08  
Cr54         54           24           2.49720E-08  
Mn55         55           25           5.12350E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           2.77500E-06  
Fe55         55           26           0.00000E+00  
Fe56         56           26           4.55730E-05  
Fe57         57           26           1.19760E-06  
Fe58         58           26           5.04040E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.08890E-07  
Co59         59           27           2.58880E-07  
Co60         60           27           3.82590E-13  
Ni58         58           28           1.90670E-06  
Ni59         59           28           2.45040E-10  
Ni60         60           28           8.26560E-07  
Ni61         61           28           6.59130E-08  
Ni62         62           28           1.76920E-07  
Ni63         63           28           5.62800E-12  
Ni64         64           28           8.74550E-08  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           6.14750E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           2.32620E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           3.99850E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           3.21770E-08  
Zn67         67           30           5.42590E-09  
Zn68         68           30           2.71200E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           8.04820E-10  
Ga69         69           31           3.04060E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           2.12160E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           3.98670E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           4.56780E-09  
Ge73         73           32           1.32160E-09  
Ge74         74           32           6.82760E-09  
Ge75         75           32           0.00000E+00  
Ge76         76           32           9.52360E-10  
Ge77         77           32           0.00000E+00  
As75         75           33           8.21660E-10  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           1.27650E-09  
Se77         77           34           7.22080E-10  
Se78         78           34           3.22780E-09  
Se79         79           34           2.98320E-10  
Se80         80           34           4.94040E-09  
Se81         81           34           0.00000E+00  
Se82         82           34           6.62690E-10  
Br79         79           35           5.80580E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           8.46740E-10  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           1.27260E-10  
Kr81         81           36           4.20850E-12  
Kr82         82           36           1.40120E-09  
Kr83         83           36           8.53790E-10  
Kr84         84           36           4.82740E-09  
Kr85         85           36           0.00000E+00  
Kr86         86           36           3.46860E-09  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           1.15050E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.52180E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           5.64890E-10  
Sr87         87           38           3.19400E-10  
Sr88         88           38           8.36160E-09  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           2.39080E-09  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           2.22120E-09  
Zr91         91           40           6.61010E-10  
Zr92         92           40           1.09350E-09  
Zr93         93           40           3.24170E-10  
Zr94         94           40           1.42830E-09  
Zr95         95           40           0.00000E+00  
Zr96         96           40           8.16750E-10  
Zr97         97           40           0.00000E+00  
Nb93         93           41           1.08550E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           3.87460E-11  
Mo93         93           42           0.00000E+00  
Mo94         94           42           2.48130E-11  
Mo95         95           42           2.13410E-10  
Mo96         96           42           3.13730E-10  
Mo97         97           42           1.43190E-10  
Mo98         98           42           4.33990E-10  
Mo99         99           42           0.00000E+00  
Mo00         100          42           7.48190E-11  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           2.70260E-11  
Ru96         96           44           9.74350E-12  
Ru97         97           44           0.00000E+00  
Ru98         98           44           3.35650E-12  
Ru99         99           44           4.68410E-11  
Ru00         100          44           1.81980E-10  
Ru01         101          44           7.02490E-11  
Ru02         102          44           2.89430E-10  
Ru03         103          44           0.00000E+00  
Ru04         104          44           7.26480E-11  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           7.96960E-11  
Rh05         105          45           0.00000E+00  
Pd04         104          46           1.26220E-10  
Pd05         105          46           6.73420E-11  
Pd06         106          46           1.88680E-10  
Pd07         107          46           2.78910E-11  
Pd08         108          46           2.20190E-10  
Pd09         109          46           0.00000E+00  
Pd10         110          46           5.53040E-11  
Ag07         107          47           2.80210E-11  
Ag09         109          47           7.77440E-11  
Ag11         111          47           0.00000E+00  
Cd08         108          48           1.54680E-12  
Cd09         109          48           0.00000E+00  
Cd10         110          48           1.55040E-10  
Cd11         111          48           7.35840E-11  
Cd12         112          48           2.32100E-10  
Cd13         113          48           7.67350E-11  
Cd14         114          48           3.16810E-10  
Cd15         115          48           0.00000E+00  
Cd16         116          48           1.13830E-10  
In13         113          49           8.87600E-13  
In15         115          49           7.42430E-11  
Sn14         114          50           2.81320E-12  
Sn15         115          50           1.45980E-12  
Sn16         116          50           3.64530E-10  
Sn17         117          50           1.43880E-10  
Sn18         118          50           6.41540E-10  
Sn19         119          50           2.00020E-10  
Sn20         120          50           1.05820E-09  
Sn21         121          50           0.00000E+00  
Sn22         122          50           4.35810E-10  
Sn23         123          50           0.00000E+00  
Sn24         124          50           1.37990E-10  
Sb21         121          51           9.51260E-11  
Sb22         122          51           0.00000E+00  
Sb23         123          51           6.53990E-11  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           1.17260E-10  
Te23         123          52           3.92370E-11  
Te24         124          52           2.79920E-10  
Te25         125          52           1.29860E-10  
Te26         126          52           5.55960E-10  
Te27         127          52           0.00000E+00  
Te28         128          52           2.87470E-10  
Te30         130          52           2.13490E-10  
I127         127          53           1.86780E-10  
I128         128          53           0.00000E+00  
I129         129          53           2.68730E-12  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           1.47410E-10  
Xe29         129          54           2.49700E-10  
Xe30         130          54           2.99850E-10  
Xe31         131          54           2.30370E-10  
Xe32         132          54           6.95230E-10  
Xe33         133          54           0.00000E+00  
Xe34         134          54           4.45380E-10  
Xe35         135          54           0.00000E+00  
Xe36         136          54           1.47010E-10  
Cs33         133          55           1.22220E-10  
Cs34         134          55           0.00000E+00  
Cs35         135          55           9.27740E-11  
Cs36         136          55           0.00000E+00  
Cs37         137          55           0.00000E+00  
Ba34         134          56           1.53550E-10  
Ba35         135          56           8.60580E-11  
Ba36         136          56           5.20400E-10  
Ba37         137          56           9.22370E-10  
Ba38         138          56           8.54760E-09  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           1.07950E-09  
La40         140          57           0.00000E+00  
Ce40         140          58           2.91070E-09  
Ce41         141          58           0.00000E+00  
Ce42         142          58           6.30660E-10  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           3.67810E-10  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           5.91500E-10  
Nd43         143          60           1.77100E-10  
Nd44         144          60           6.40360E-10  
Nd45         145          60           1.23350E-10  
Nd46         146          60           5.42910E-10  
Nd47         147          60           0.00000E+00  
Nd48         148          60           1.24700E-10  
Nd49         149          60           0.00000E+00  
Nd50         150          60           1.45420E-11  
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           1.14590E-12  
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           6.67160E-11  
Sm48         148          62           1.21910E-10  
Sm49         149          62           3.22800E-11  
Sm50         150          62           1.14640E-10  
Sm51         151          62           0.00000E+00  
Sm52         152          62           1.09290E-10  
Sm53         153          62           0.00000E+00  
Sm54         154          62           6.60880E-11  
Eu51         151          63           2.32790E-11  
Eu52         152          63           0.00000E+00  
Eu53         153          63           2.76030E-11  
Eu54         154          63           0.00000E+00  
Eu55         155          63           0.00000E+00  
Eu56         156          63           0.00000E+00  
Eu57         157          63           0.00000E+00  
Gd52         152          64           1.49490E-12  
Gd53         153          64           0.00000E+00  
Gd54         154          64           2.62510E-11  
Gd55         155          64           3.58900E-11  
Gd56         156          64           9.70100E-11  
Gd57         157          64           4.84130E-11  
Gd58         158          64           1.64530E-10  
Gd59         159          64           0.00000E+00  
Gd60         160          64           6.05630E-11  
Tb59         159          65           4.53190E-11  
Tb60         160          65           0.00000E+00  
Tb61         161          65           0.00000E+00  
Dy60         160          66           5.14810E-11  
Dy61         161          66           4.05980E-11  
Dy62         162          66           1.33920E-10  
Dy63         163          66           5.22110E-11  
Dy64         164          66           1.93140E-10  
Dy65         165          66           0.00000E+00  
Dy66         166          66           0.00000E+00  
Ho63         163          67           3.69440E-13  
Ho64         164          67           0.00000E+00  
Ho65         165          67           6.32870E-11  
Ho66         166          67           0.00000E+00  
Er64         164          68           2.28970E-11  
Er65         165          68           0.00000E+00  
Er66         166          68           8.57470E-11  
Er67         167          68           4.40000E-11  
Er68         168          68           1.45930E-10  
Er69         169          68           0.00000E+00  
Er70         170          68           8.63610E-11  
Er71         171          68           0.00000E+00  
Er72         172          68           0.00000E+00  
Tm69         169          69           3.45310E-11  
