Isotope      A            Z            YIELD     
H            1            1            1.59140E+00  
He4          4            2            5.74190E-01  
C12          12           6            8.90860E-03  
C13          13           6            1.58110E-05  
C14          14           6            1.86250E-09  
N14          14           7            1.16770E-04  
N15          15           7            5.29860E-08  
O16          16           8            1.09820E-03  
O17          17           8            5.84360E-06  
O18          18           8            3.98240E-07  
F18          18           9            0.00000E+00  
F19          19           9            7.42320E-07  
Ne20         20           10           1.60000E-04  
Ne21         21           10           3.90700E-07  
Ne22         22           10           2.52000E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           5.89380E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           8.07760E-05  
Mg25         25           12           1.51110E-05  
Mg26         26           12           2.25940E-05  
Al26         26           13           7.52180E-09  
Al27         27           13           4.38640E-06  
Si28         28           14           1.07600E-04  
Si29         29           14           2.29710E-06  
Si30         30           14           1.95320E-06  
Si31         31           14           0.00000E+00  
Si32         32           14           4.61390E-12  
P31          31           15           7.00920E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           5.43490E-05  
S33          33           16           1.54340E-07  
S34          34           16           9.70260E-07  
S35          35           16           0.00000E+00  
S36          36           16           1.38740E-08  
Cl35         35           17           1.77660E-07  
Cl36         36           17           1.83300E-10  
Cl37         37           17           7.28800E-08  
Ar36         36           18           1.23870E-05  
Ar37         37           18           0.00000E+00  
Ar38         38           18           8.05350E-07  
Ar39         39           18           2.51820E-11  
Ar40         40           18           1.20560E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.74890E-07  
K40          40           19           4.80030E-10  
K41          41           19           1.56190E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           9.30540E-06  
Ca41         41           20           4.00870E-10  
Ca42         42           20           2.54690E-08  
Ca43         43           20           5.78180E-09  
Ca44         44           20           7.55680E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           2.52700E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           6.90580E-09  
Sc45         45           21           3.55680E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           1.24100E-08  
Ti47         47           22           1.10690E-08  
Ti48         48           22           1.07170E-07  
Ti49         49           22           9.23990E-09  
Ti50         50           22           1.48430E-08  
V50          50           23           4.50690E-11  
V51          51           23           1.88770E-08  
Cr50         50           24           3.58470E-08  
Cr51         51           24           0.00000E+00  
Cr52         52           24           7.24420E-07  
Cr53         53           24           8.38360E-08  
Cr54         54           24           2.69930E-08  
Mn55         55           25           6.30760E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           3.44230E-06  
Fe55         55           26           0.00000E+00  
Fe56         56           26           5.62270E-05  
Fe57         57           26           1.38010E-06  
Fe58         58           26           3.87460E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.22840E-07  
Co59         59           27           2.47190E-07  
Co60         60           27           2.50060E-13  
Ni58         58           28           2.36610E-06  
Ni59         59           28           2.24730E-10  
Ni60         60           28           9.88620E-07  
Ni61         61           28           6.89590E-08  
Ni62         62           28           1.97560E-07  
Ni63         63           28           2.04590E-11  
Ni64         64           28           1.03200E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           6.48090E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           2.91620E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           4.96480E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           4.08940E-08  
Zn67         67           30           6.98080E-09  
Zn68         68           30           3.68510E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           1.04000E-09  
Ga69         69           31           4.26120E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           3.00220E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           5.81510E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           6.89430E-09  
Ge73         73           32           2.01740E-09  
Ge74         74           32           1.11650E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           1.34790E-09  
Ge77         77           32           0.00000E+00  
As75         75           33           1.30090E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           2.22960E-09  
Se77         77           34           1.16420E-09  
Se78         78           34           5.88690E-09  
Se79         79           34           6.88240E-10  
Se80         80           34           8.64950E-09  
Se81         81           34           0.00000E+00  
Se82         82           34           1.13910E-09  
Br79         79           35           8.09980E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           1.50150E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           1.94780E-10  
Kr81         81           36           1.60560E-11  
Kr82         82           36           2.88420E-09  
Kr83         83           36           1.49520E-09  
Kr84         84           36           9.01070E-09  
Kr85         85           36           0.00000E+00  
Kr86         86           36           9.56790E-09  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           2.48740E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           4.31810E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           1.22200E-09  
Sr87         87           38           6.49020E-10  
Sr88         88           38           1.76800E-08  
Sr89         89           38           0.00000E+00  
Sr90         90           38           1.10680E-13  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           5.09080E-09  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           4.59350E-09  
Zr91         91           40           1.39400E-09  
Zr92         92           40           2.29100E-09  
Zr93         93           40           7.72990E-10  
Zr94         94           40           2.98330E-09  
Zr95         95           40           0.00000E+00  
Zr96         96           40           1.80860E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           1.28560E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           4.81430E-11  
Mo93         93           42           0.00000E+00  
Mo94         94           42           3.07710E-11  
Mo95         95           42           4.25270E-10  
Mo96         96           42           6.53120E-10  
Mo97         97           42           3.06040E-10  
Mo98         98           42           9.71780E-10  
Mo99         99           42           0.00000E+00  
Mo00         100          42           1.36370E-10  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           8.95620E-11  
Ru96         96           44           1.21140E-11  
Ru97         97           44           0.00000E+00  
Ru98         98           44           4.17070E-12  
Ru99         99           44           6.30280E-11  
Ru00         100          44           4.21550E-10  
Ru01         101          44           1.33600E-10  
Ru02         102          44           6.46000E-10  
Ru03         103          44           0.00000E+00  
Ru04         104          44           1.28640E-10  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           1.51660E-10  
Rh05         105          45           0.00000E+00  
Pd04         104          46           2.95000E-10  
Pd05         105          46           1.24220E-10  
Pd06         106          46           4.14830E-10  
Pd07         107          46           6.96980E-11  
Pd08         108          46           4.93910E-10  
Pd09         109          46           0.00000E+00  
Pd10         110          46           1.03520E-10  
Ag07         107          47           3.47500E-11  
Ag09         109          47           1.61330E-10  
