Isotope      A            Z            YIELD [M<sub><font face='Wingdings'>&#164;</font></sub>]
H            1            1            4.66060E-01  
He4          4            2            1.86510E-01  
C12          12           6            3.94970E-03  
C13          13           6            3.29750E-06  
C14          14           6            1.56710E-10  
N14          14           7            9.12860E-05  
N15          15           7            8.30430E-08  
O16          16           8            4.02330E-04  
O17          17           8            8.20440E-07  
O18          18           8            4.71120E-07  
F18          18           9            0.00000E+00  
F19          19           9            3.39790E-07  
Ne20         20           10           5.09580E-05  
Ne21         21           10           1.79980E-07  
Ne22         22           10           1.73560E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           2.89410E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           2.75560E-05  
Mg25         25           12           3.93630E-06  
Mg26         26           12           4.29890E-06  
Al26         26           13           1.63710E-08  
Al27         27           13           3.08740E-06  
Si28         28           14           3.31340E-05  
Si29         29           14           1.75170E-06  
Si30         30           14           1.22240E-06  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           3.35780E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           1.73710E-05  
S33          33           16           1.47020E-07  
S34          34           16           8.41070E-07  
S35          35           16           0.00000E+00  
S36          36           16           5.06570E-09  
Cl35         35           17           1.77250E-07  
Cl36         36           17           7.63060E-11  
Cl37         37           17           6.63620E-08  
Ar36         36           18           3.96720E-06  
Ar37         37           18           0.00000E+00  
Ar38         38           18           7.73690E-07  
Ar39         39           18           2.95370E-13  
Ar40         40           18           2.20360E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.66620E-07  
K40          40           19           5.08610E-10  
K41          41           19           1.42330E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           2.97960E-06  
Ca41         41           20           1.37230E-10  
Ca42         42           20           2.21860E-08  
Ca43         43           20           4.73090E-09  
Ca44         44           20           7.13420E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           2.30590E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           6.92320E-09  
Sc45         45           21           2.18470E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           1.18150E-08  
Ti47         47           22           1.06800E-08  
Ti48         48           22           1.07520E-07  
Ti49         49           22           9.13060E-09  
Ti50         50           22           1.06030E-08  
V50          50           23           4.53680E-11  
V51          51           23           1.88170E-08  
Cr50         50           24           3.60790E-08  
Cr51         51           24           0.00000E+00  
Cr52         52           24           7.33040E-07  
Cr53         53           24           8.46950E-08  
Cr54         54           24           2.50050E-08  
Mn55         55           25           6.48490E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           3.47310E-06  
Fe55         55           26           0.00000E+00  
Fe56         56           26           5.70190E-05  
Fe57         57           26           1.46870E-06  
Fe58         58           26           3.29540E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           5.67990E-09  
Co59         59           27           2.04880E-07  
Co60         60           27           0.00000E+00  
Ni58         58           28           2.38770E-06  
Ni59         59           28           1.06950E-09  
Ni60         60           28           9.81380E-07  
Ni61         61           28           5.31610E-08  
Ni62         62           28           1.53540E-07  
Ni63         63           28           0.00000E+00  
Ni64         64           28           4.59950E-08  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           3.71500E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           1.64510E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           5.09470E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           3.14930E-08  
Zn67         67           30           4.83970E-09  
Zn68         68           30           2.24150E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           6.94410E-10  
Ga69         69           31           2.21870E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           1.58620E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           2.76390E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           3.57050E-09  
Ge73         73           32           1.01440E-09  
Ge74         74           32           4.99270E-09  
Ge75         75           32           0.00000E+00  
Ge76         76           32           8.64880E-10  
Ge77         77           32           0.00000E+00  
As75         75           33           6.65910E-10  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           8.23960E-10  
Se77         77           34           5.82980E-10  
Se78         78           34           2.14980E-09  
Se79         79           34           5.41450E-11  
Se80         80           34           4.00900E-09  
Se81         81           34           0.00000E+00  
Se82         82           34           5.81850E-10  
Br79         79           35           6.36040E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           6.90070E-10  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           1.45350E-10  
Kr81         81           36           3.28360E-12  
Kr82         82           36           1.03430E-09  
Kr83         83           36           7.99140E-10  
Kr84         84           36           4.15570E-09  
Kr85         85           36           0.00000E+00  
Kr86         86           36           1.45010E-09  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           7.02690E-10  
Rb86         86           37           0.00000E+00  
Rb87         87           37           3.69380E-10  
Rb88         88           37           0.00000E+00  
