# M_ini =  1.70 Msun, Z = 0.0011, Y = 0.24, M_pmz = 2.0E-03 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.662 Msun, M_yield(all) = 1.038 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.377885   7.183422E-01   6.917882E-01
 he   2   11.025037   0.095037   1.472922   3.043205E-01   2.930711E-01
  c   6    9.181993   0.711993   2.089878   1.310735E-02   1.262283E-02
  n   7    7.052912  -0.817088   0.560797   1.136051E-04   1.094056E-04
  o   8    7.952414  -0.777586   0.600299   1.030470E-03   9.923777E-04
  f   9    5.236182   0.816182   2.194066   2.351076E-06   2.264167E-06
 ne  10    7.891125  -0.078875   1.299010   1.215617E-03   1.170681E-03
 na  11    5.874920  -0.365080   1.012805   1.238737E-05   1.192946E-05
 mg  12    6.698946  -0.941054   0.436831   8.697346E-05   8.375844E-05
 al  13    5.178501  -1.271499   0.106386   2.925476E-06   2.817334E-06
 si  14    6.556167  -0.993833   0.384052   7.251385E-05   6.983334E-05
  p  15    4.290760  -1.119240   0.258645   4.349641E-07   4.188854E-07
  s  16    5.786195  -1.363805   0.014080   1.409369E-05   1.357271E-05
 cl  17    3.903302  -1.326698   0.051187   2.050487E-07   1.974690E-07
 ar  18    5.062093  -1.377907  -0.000023   3.010753E-06   2.899459E-06
  k  19    3.726241  -1.353759   0.024126   1.498133E-07   1.442753E-07
 ca  20    4.910193  -1.379807  -0.001922   2.344093E-06   2.257443E-06
 sc  21    1.820247  -1.229753   0.148132   2.136934E-09   2.057941E-09
 ti  22    3.568070  -1.341930   0.035955   1.277284E-07   1.230069E-07
  v  23    2.580048  -1.379952  -0.002067   1.392995E-08   1.341502E-08
 cr  24    4.245315  -1.394685  -0.016800   6.592446E-07   6.348752E-07
 mn  25    4.121085  -1.358915   0.018970   5.221301E-07   5.028292E-07
 fe  26    6.162115  -1.377885   0.000000   5.835560E-05   5.619845E-05
 co  27    3.674965  -1.195035   0.182850   2.005157E-07   1.931036E-07
 ni  28    4.844244  -1.355756   0.022129   2.960646E-06   2.851204E-06
 cu  29    3.175979  -1.074021   0.303864   6.869654E-08   6.615714E-08
 zn  30    3.432296  -1.197704   0.180181   1.282483E-07   1.235075E-07
 ga  31    2.268301  -0.811699   0.566186   9.320994E-09   8.976438E-09
 ge  32    2.765314  -0.814686   0.563198   3.027488E-08   2.915575E-08
 as  33    1.362902  -0.937098   0.440787   1.242496E-09   1.196567E-09
 se  34    2.696629  -0.643371   0.734513   2.809722E-08   2.705859E-08
 br  35    1.763160  -0.776840   0.601045   3.335209E-09   3.211921E-09
 kr  36    2.787438  -0.462562   0.915323   3.703392E-08   3.566494E-08
 rb  37    1.995313  -0.524687   0.853198   6.084213E-09   5.859307E-09
 sr  38    3.064515   0.184515   1.562400   7.318262E-08   7.047738E-08
  y  39    2.454783   0.244783   1.622667   1.821814E-08   1.754469E-08
 zr  40    2.867871   0.337871   1.715756   4.856264E-08   4.676750E-08
 nb  41    1.649186   0.239186   1.617070   2.978516E-09   2.868413E-09
 mo  42    2.041169   0.101169   1.479054   7.636198E-09   7.353921E-09
 ru  44    1.778675   0.018675   1.396559   4.356486E-09   4.195446E-09
 rh  45    0.716306  -0.343694   1.034191   3.850123E-10   3.707801E-10
 pd  46    1.784905   0.134905   1.512790   4.647586E-09   4.475785E-09
 ag  47    0.986887  -0.213113   1.164772   7.542318E-10   7.263512E-10
 cd  48    1.970506   0.260506   1.638391   7.540514E-09   7.261774E-09
 in  49    0.835269   0.075269   1.453154   5.653246E-10   5.444271E-10
 sn  50    2.412838   0.342838   1.720723   2.201828E-08   2.120436E-08
 sb  51    0.888017  -0.121983   1.255902   6.716357E-10   6.468083E-10
 te  52    1.999661  -0.180339   1.197545   8.953768E-09   8.622786E-09
  i  53    0.878542  -0.671458   0.706426   6.897260E-10   6.642298E-10
 xe  54    2.120712  -0.119288   1.258597   1.241556E-08   1.195661E-08
 cs  55    0.923940  -0.156060   1.221825   8.019053E-10   7.722624E-10
 ba  56    2.906628   0.726628   2.104512   7.975615E-08   7.680791E-08
 la  57    1.891986   0.721986   2.099870   7.786310E-09   7.498484E-09
 ce  58    2.372160   0.792160   2.170045   2.370147E-08   2.282533E-08
 pr  59    1.334082   0.574082   1.951966   2.185909E-09   2.105106E-09
 nd  60    2.119413   0.669413   2.047298   1.357120E-08   1.306953E-08
 sm  62    1.311356   0.371356   1.749241   2.196823E-09   2.115616E-09
 eu  63    0.235097  -0.274903   1.102982   1.877033E-10   1.807647E-10
 gd  64    1.150115   0.100115   1.478000   1.592446E-09   1.533580E-09
 tb  65    0.185897  -0.134103   1.243782   1.752371E-10   1.687593E-10
 dy  66    1.296437   0.166437   1.544322   2.313651E-09   2.228125E-09
 ho  67    0.262553  -0.207447   1.170438   2.169543E-10   2.089345E-10
 er  68    1.131982   0.211982   1.589867   1.631009E-09   1.570718E-09
 tm  69    0.177464   0.057464   1.435349   1.826762E-10   1.759235E-10
 yb  70    1.454948   0.534948   1.912832   3.539169E-09   3.408342E-09
 lu  71    0.491011   0.401011   1.778896   3.903214E-10   3.758929E-10
 hf  72    1.391359   0.681359   2.059243   3.169202E-09   3.052051E-09
 ta  73    0.440912   0.560912   1.938797   3.588572E-10   3.455918E-10
  w  74    1.403766   0.753766   2.131651   3.348298E-09   3.224526E-09
 re  75    0.469372   0.209372   1.587257   3.933378E-10   3.787978E-10
 os  76    1.334937  -0.015063   1.362822   2.931813E-09   2.823437E-09
 ir  77    0.601478  -0.718522   0.659363   5.512736E-10   5.308954E-10
 pt  78    1.354812  -0.265188   1.112696   3.169499E-09   3.052336E-09
 au  79    0.563251  -0.236749   1.141136   5.176651E-10   4.985293E-10
 hg  80    1.855877   0.685877   2.063762   1.033485E-08   9.952821E-09
 tl  81    1.573182   0.803182   2.181067   5.491105E-09   5.288123E-09
 pb  82    3.612230   1.572230   2.950115   6.109403E-07   5.883566E-07
 bi  83    1.713299   1.063299   2.441184   7.758485E-09   7.471688E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
   -0.8626   1.6336   2.1054   0.4718   0.8447      1.9163      9.4956
