# M_ini =  2.36 Msun, Z = 0.0011, Y = 0.24, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.693 Msun, M_yield(all) = 1.667 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.369686   1.137886E+00   6.824677E-01
 he   2   11.037668   0.107668   1.477354   4.963059E-01   2.976684E-01
  c   6    9.322941   0.852941   2.222627   2.872284E-02   1.722704E-02
  n   7    7.015029  -0.854971   0.514715   1.649167E-04   9.891178E-05
  o   8    7.851780  -0.878220   0.491466   1.294518E-03   7.764107E-04
  f   9    5.468258   1.048258   2.417945   6.354927E-06   3.811482E-06
 ne  10    8.002689   0.032689   1.402376   2.495027E-03   1.496437E-03
 na  11    5.896799  -0.343201   1.026485   2.063598E-05   1.237680E-05
 mg  12    6.750023  -0.889977   0.479710   1.562911E-04   9.373840E-05
 al  13    5.393308  -1.056692   0.312994   7.599247E-06   4.557785E-06
 si  14    6.564249  -0.985751   0.383935   1.170401E-04   7.019693E-05
  p  15    4.086458  -1.323542   0.046145   4.304462E-07   2.581679E-07
  s  16    5.790425  -1.359575   0.010112   2.254576E-05   1.352222E-05
 cl  17    3.919261  -1.310739   0.058947   3.373179E-07   2.023125E-07
 ar  18    5.067363  -1.372637  -0.002951   4.828539E-06   2.896003E-06
  k  19    3.735351  -1.344649   0.025037   2.423997E-07   1.453836E-07
 ca  20    4.913969  -1.376031  -0.006345   3.745142E-06   2.246217E-06
 sc  21    1.862059  -1.187941   0.181745   3.727089E-09   2.235389E-09
 ti  22    3.544289  -1.365711   0.003975   1.912675E-07   1.147162E-07
  v  23    2.566786  -1.393214  -0.023528   2.140203E-08   1.283625E-08
 cr  24    4.252004  -1.387996  -0.018310   1.060856E-06   6.362675E-07
 mn  25    4.126069  -1.353931   0.015755   8.366240E-07   5.017803E-07
 fe  26    6.170314  -1.369686   0.000000   9.424949E-05   5.652783E-05
 co  27    3.904709  -0.965291   0.404395   5.390879E-07   3.233277E-07
 ni  28    4.849395  -1.350605   0.019081   4.746487E-06   2.846791E-06
 cu  29    3.135949  -1.114051   0.255636   9.875602E-08   5.923070E-08
 zn  30    3.284362  -1.345638   0.024048   1.437257E-07   8.620207E-08
 ga  31    1.834225  -1.245775   0.123911   5.421772E-09   3.251805E-09
 ge  32    2.263065  -1.316935   0.052751   1.507541E-08   9.041747E-09
 as  33    0.953619  -1.346381   0.023305   7.669710E-10   4.600047E-10
 se  34    1.993687  -1.346313   0.023374   8.826013E-09   5.293560E-09
 br  35    1.184303  -1.355697   0.013989   1.391572E-09   8.346202E-10
 kr  36    1.919409  -1.330591   0.039096   7.931892E-09   4.757295E-09
 rb  37    1.215365  -1.304635   0.065051   1.600581E-09   9.599772E-10
 sr  38    1.545900  -1.334100   0.035586   3.507651E-09   2.103777E-09
  y  39    0.862557  -1.347443   0.022244   7.379826E-10   4.426183E-10
 zr  40    1.175777  -1.354223   0.015463   1.558269E-09   9.345998E-10
 nb  41    0.046363  -1.363637   0.006049   1.177456E-10   7.062004E-11
 mo  42    0.446562  -1.493438  -0.123752   3.065148E-10   1.838377E-10
 ru  44    0.247817  -1.512183  -0.142496   2.031766E-10   1.218588E-10
 rh  45   -0.339015  -1.399015  -0.029328   5.369346E-11   3.220362E-11
 pd  46    0.216183  -1.433817  -0.064131   1.986151E-10   1.191230E-10
 ag  47   -0.194197  -1.394197  -0.024511   7.856169E-11   4.711879E-11
 cd  48    0.309586  -1.400414  -0.030728   2.606887E-10   1.563527E-10
 in  49   -0.636406  -1.396406  -0.026720   3.022670E-11   1.812901E-11
 sn  50    0.656668  -1.413332  -0.043646   6.112227E-10   3.665918E-10
 sb  51   -0.612236  -1.622236  -0.252550   3.362390E-11   2.016654E-11
 te  52    0.343789  -1.836211  -0.466525   3.141607E-10   1.884236E-10
  i  53    0.146535  -1.403465  -0.033779   2.025059E-10   1.214565E-10
 xe  54    0.826470  -1.413530  -0.043844   9.992687E-10   5.993294E-10
 cs  55   -0.303776  -1.383776  -0.014089   7.519253E-11   4.509807E-11
 ba  56    0.846429  -1.333571   0.036115   1.097774E-09   6.584095E-10
 la  57   -0.189413  -1.359413   0.010274   1.022588E-10   6.133158E-11
 ce  58    0.218084  -1.361916   0.007770   2.636336E-10   1.581190E-10
 pr  59   -0.617442  -1.377442  -0.007756   3.871471E-11   2.321985E-11
 nd  60    0.053084  -1.396916  -0.027229   1.851437E-10   1.110433E-10
 sm  62   -0.568798  -1.508798  -0.139111   4.594904E-11   2.755876E-11
 eu  63   -0.892433  -1.402433  -0.032746   2.216338E-11   1.329289E-11
 gd  64   -0.446686  -1.496686  -0.126999   6.370775E-11   3.820987E-11
 tb  65   -1.079079  -1.399079  -0.029392   1.508055E-11   9.044831E-12
 dy  66   -0.259564  -1.389564  -0.019878   1.017716E-10   6.103934E-11
 ho  67   -0.929454  -1.399454  -0.029768   2.208660E-11   1.324683E-11
 er  68   -0.469853  -1.389853  -0.020167   6.456995E-11   3.872699E-11
 tm  69   -1.271130  -1.391130  -0.021444   1.030043E-11   6.177871E-12
 yb  70   -0.482755  -1.402755  -0.033069   6.466833E-11   3.878600E-11
 lu  71   -1.272368  -1.362368   0.007318   1.063987E-11   6.381451E-12
 hf  72   -0.618357  -1.328357   0.041329   4.894855E-11   2.935777E-11
 ta  73   -1.467707  -1.347707   0.021979   7.015690E-12   4.207787E-12
  w  74   -0.676439  -1.326439   0.043247   4.408255E-11   2.643931E-11
 re  75   -1.125575  -1.385575  -0.015889   1.587238E-11   9.519744E-12
 os  76   -0.042127  -1.392127  -0.022441   1.964622E-10   1.178318E-10
 ir  77   -0.084333  -1.404333  -0.034647   1.801522E-10   1.080495E-10
 pt  78    0.194728  -1.425272  -0.055586   3.472422E-10   2.082648E-10
 au  79   -0.591487  -1.391487  -0.021801   5.742192E-11   3.443983E-11
 hg  80   -0.131126  -1.301126   0.068560   1.686233E-10   1.011349E-10
 tl  81   -0.482531  -1.252531   0.117155   7.655094E-11   4.591281E-11
 pb  82    0.685624  -1.354376   0.015310   1.143846E-09   6.860419E-10
 bi  83   -0.713926  -1.363926   0.005760   4.595356E-11   2.756148E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.0496   0.0244   0.0067  -0.0177   0.0086      2.0437      9.6312
