# M_ini =  3.00 Msun, Z = 0.0011, Y = 0.24, M_pmz = 1.0E-03 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.801 Msun, M_yield(all) = 2.199 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.382045   1.512090E+00   6.876735E-01
 he   2   11.031189   0.101189   1.483234   6.498708E-01   2.955504E-01
  c   6    9.226161   0.756161   2.138206   3.066015E-02   1.394373E-02
  n   7    7.881120   0.011120   1.393165   1.610003E-03   7.322026E-04
  o   8    7.517083  -1.212917   0.169128   7.957702E-04   3.619030E-04
  f   9    5.286818   0.866818   2.248863   5.560953E-06   2.529029E-06
 ne  10    7.954013  -0.015987   1.366058   2.960441E-03   1.346359E-03
 na  11    5.976734  -0.263266   1.118779   3.296398E-05   1.499147E-05
 mg  12    7.057127  -0.582873   0.799172   4.361423E-04   1.983503E-04
 al  13    5.988982  -0.461018   0.921026   3.980366E-05   1.810204E-05
 si  14    6.601447  -0.948553   0.433491   1.696277E-04   7.714387E-05
  p  15    4.603086  -0.806914   0.575131   1.879427E-06   8.547320E-07
  s  16    5.789259  -1.360741   0.021304   2.989342E-05   1.359503E-05
 cl  17    3.919848  -1.310152   0.071893   4.489526E-07   2.041762E-07
 ar  18    5.059341  -1.380659   0.001386   6.304696E-06   2.867271E-06
  k  19    3.749601  -1.330399   0.051646   3.326456E-07   1.512817E-07
 ca  20    4.901734  -1.388266  -0.006221   4.840853E-06   2.201540E-06
 sc  21    2.052901  -0.997099   0.384946   7.685842E-09   3.495393E-09
 ti  22    3.559392  -1.350608   0.031436   2.635812E-07   1.198723E-07
  v  23    2.581523  -1.378477   0.003568   2.942189E-08   1.338059E-08
 cr  24    4.241323  -1.398677  -0.016632   1.375753E-06   6.256698E-07
 mn  25    4.085900  -1.394100  -0.012055   1.013538E-06   4.609403E-07
 fe  26    6.157955  -1.382045   0.000000   1.218025E-04   5.539376E-05
 co  27    4.092796  -0.777204   0.604841   1.104653E-06   5.023778E-07
 ni  28    4.915975  -1.284025   0.098020   7.411684E-06   3.370711E-06
 cu  29    3.576137  -0.673863   0.708182   3.617817E-07   1.645323E-07
 zn  30    3.535588  -1.094412   0.287633   3.442009E-07   1.565368E-07
 ga  31    2.450610  -0.629390   0.752655   2.983026E-08   1.356631E-08
 ge  32    2.909703  -0.670297   0.711748   8.877339E-08   4.037266E-08
 as  33    1.484250  -0.815750   0.566295   3.458509E-09   1.572872E-09
 se  34    2.838491  -0.501509   0.880536   8.197857E-08   3.728249E-08
 br  35    1.825531  -0.714469   0.667576   8.122030E-09   3.693764E-09
 kr  36    3.320058   0.070058   1.452103   2.696322E-07   1.226242E-07
