# M_ini =  3.00 Msun, Z = 0.0011, Y = 0.24, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.801 Msun, M_yield(all) = 2.199 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.379843   1.512249E+00   6.877457E-01
 he   2   11.031317   0.101317   1.481159   6.501295E-01   2.956681E-01
  c   6    9.236195   0.766195   2.146037   3.137975E-02   1.427099E-02
  n   7    7.880084   0.010084   1.389926   1.606332E-03   7.305333E-04
  o   8    7.347230  -1.382770  -0.002927   5.382468E-04   2.447857E-04
  f   9    5.171233   0.751233   2.131075   4.261961E-06   1.938269E-06
 ne  10    7.824077  -0.145923   1.233920   2.189454E-03   9.957272E-04
 na  11    5.839544  -0.400456   0.979386   2.403781E-05   1.093199E-05
 mg  12    6.961902  -0.678098   0.701744   3.501612E-04   1.592475E-04
 al  13    5.969871  -0.480129   0.899714   3.809416E-05   1.732459E-05
 si  14    6.589940  -0.960060   0.419783   1.651621E-04   7.511300E-05
  p  15    4.317673  -1.092327   0.287516   9.742229E-07   4.430604E-07
  s  16    5.783057  -1.366943   0.012900   2.946779E-05   1.340146E-05
 cl  17    3.919622  -1.310378   0.069464   4.487544E-07   2.040860E-07
 ar  18    5.060931  -1.379069   0.000774   6.327904E-06   2.877826E-06
  k  19    3.750786  -1.329214   0.050629   3.335748E-07   1.517043E-07
 ca  20    4.903283  -1.386717  -0.006874   4.858064E-06   2.209367E-06
 sc  21    2.021119  -1.028881   0.350962   7.144221E-09   3.249073E-09
 ti  22    3.543254  -1.366746   0.013097   2.536502E-07   1.153559E-07
  v  23    2.572327  -1.387673  -0.007831   2.880847E-08   1.310161E-08
 cr  24    4.241406  -1.398594  -0.018751   1.376081E-06   6.258186E-07
 mn  25    4.091051  -1.388949  -0.009106   1.025740E-06   4.664895E-07
 fe  26    6.160157  -1.379843   0.000000   1.224386E-04   5.568304E-05
 co  27    4.092970  -0.777030   0.602813   1.105212E-06   5.026322E-07
 ni  28    4.921748  -1.278252   0.101591   7.516577E-06   3.418414E-06
 cu  29    3.612376  -0.637624   0.742218   3.933524E-07   1.788901E-07
 zn  30    3.547133  -1.082867   0.296976   3.534809E-07   1.607572E-07
 ga  31    2.434713  -0.645287   0.734556   2.874989E-08   1.307497E-08
 ge  32    2.865020  -0.714980   0.664863   8.002051E-08   3.639200E-08
 as  33    1.420894  -0.879106   0.500736   2.989360E-09   1.359511E-09
 se  34    2.706630  -0.633370   0.746473   6.044822E-08   2.749084E-08
 br  35    1.659694  -0.880306   0.499537   5.544973E-09   2.521762E-09
 kr  36    2.727788  -0.522212   0.857630   6.827593E-08   3.105076E-08
 rb  37    2.114542  -0.405458   0.974384   1.695313E-08   7.710000E-09
 sr  38    2.207043  -0.672957   0.706886   2.134640E-08   9.707987E-09
  y  39    1.466309  -0.743691   0.636152   3.938423E-09   1.791129E-09
 zr  40    1.725275  -0.804725   0.575117   7.390110E-09   3.360899E-09
 nb  41    0.504391  -0.905609   0.474234   4.492598E-10   2.043159E-10
 mo  42    0.823791  -1.116209   0.263634   9.725639E-10   4.423059E-10
 ru  44    0.492374  -1.267626   0.112216   4.739913E-10   2.155634E-10
 rh  45   -0.256479  -1.316479   0.063363   8.629409E-11   3.924512E-11
 pd  46    0.417694  -1.232306   0.147537   4.197172E-10   1.908804E-10
 ag  47   -0.107835  -1.307835   0.072007   1.274202E-10   5.794859E-11
 cd  48    0.501686  -1.208314   0.171529   5.390784E-10   2.451639E-10
 in  49   -0.514037  -1.274037   0.105806   5.324571E-11   2.421526E-11
 sn  50    0.835740  -1.234260   0.145582   1.226612E-09   5.578428E-10
 sb  51   -0.512274  -1.522274  -0.142431   5.625164E-11   2.558231E-11
 te  52    0.472263  -1.707737  -0.327894   5.607768E-10   2.550319E-10
  i  53    0.165447  -1.384553  -0.004711   2.811084E-10   1.278434E-10
 xe  54    0.902450  -1.337550   0.042292   1.583853E-09   7.203098E-10
 cs  55   -0.263529  -1.343529   0.036314   1.096342E-10   4.985981E-11
 ba  56    1.005189  -1.174811   0.205032   2.101793E-09   9.558605E-10
 la  57   -0.107204  -1.277204   0.102639   1.642231E-10   7.468595E-11
 ce  58    0.300205  -1.279795   0.100048   4.233794E-10   1.925459E-10
 pr  59   -0.566643  -1.326643   0.053200   5.783617E-11   2.630293E-11
 nd  60    0.090100  -1.359900   0.019942   2.679392E-10   1.218543E-10
 sm  62   -0.541666  -1.481666  -0.101824   6.499600E-11   2.955910E-11
 eu  63   -0.882934  -1.392934  -0.013092   3.010637E-11   1.369188E-11
 gd  64   -0.431693  -1.481693  -0.101850   8.764397E-11   3.985902E-11
 tb  65   -1.069277  -1.389277  -0.009434   2.049951E-11   9.322836E-12
 dy  66   -0.248356  -1.378356   0.001487   1.387890E-10   6.311893E-11
 ho  67   -0.921837  -1.391837  -0.011994   2.987243E-11   1.358549E-11
 er  68   -0.462505  -1.382505  -0.002662   8.727412E-11   3.969082E-11
 tm  69   -1.263754  -1.383754  -0.003912   1.392373E-11   6.332281E-12
 yb  70   -0.479916  -1.399916  -0.020074   8.650387E-11   3.934052E-11
 lu  71   -1.270298  -1.360298   0.019545   1.420767E-11   6.461411E-12
 hf  72   -0.623817  -1.333817   0.046026   6.423435E-11   2.921271E-11
 ta  73   -1.470657  -1.350657   0.029185   9.260714E-12   4.211619E-12
  w  74   -0.681703  -1.331703   0.048139   5.787930E-11   2.632254E-11
 re  75   -1.121975  -1.381975  -0.002133   2.127055E-11   9.673492E-12
 os  76   -0.038481  -1.388481  -0.008639   2.633058E-10   1.197471E-10
 ir  77   -0.079037  -1.399037  -0.019194   2.423597E-10   1.102212E-10
 pt  78    0.195641  -1.424359  -0.044517   4.624464E-10   2.103129E-10
 au  79   -0.591687  -1.391687  -0.011844   7.627857E-11   3.469023E-11
 hg  80   -0.185668  -1.355668   0.024175   1.976262E-10   8.987712E-11
 tl  81   -0.512160  -1.282160   0.097683   9.505273E-11   4.322840E-11
 pb  82    0.716176  -1.323824   0.056019   1.631015E-09   7.417584E-10
 bi  83   -0.695367  -1.345367   0.034475   6.373856E-11   2.898724E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.3993   0.6394   0.1069  -0.5325  -0.0509      1.9626      9.5400
