# M_ini =  6.00 Msun, Z = 0.0011, Y = 0.24, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 1.021 Msun, M_yield(all) = 4.979 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.335431   3.102205E+00   6.230956E-01
 he   2   11.167387   0.237387   1.572818   1.824389E+00   3.664390E-01
  c   6    7.905883  -0.564117   0.771314   3.038556E-03   6.103114E-04
  n   7    9.019248   1.149248   2.484679   4.539924E-02   9.118696E-03
  o   8    7.119511  -1.610489  -0.275058   6.537610E-04   1.313116E-04
  f   9    2.378093  -2.041907  -0.706476   1.407723E-08   2.827492E-09
 ne  10    7.324740  -0.645260   0.690170   1.375312E-03   2.762392E-04
 na  11    5.476876  -0.763124   0.572307   2.139313E-05   4.296933E-06
 mg  12    6.920105  -0.719895   0.615536   6.580214E-04   1.321674E-04
 al  13    6.361192  -0.088808   1.246623   1.924095E-04   3.864654E-05
 si  14    6.675591  -0.874409   0.461022   4.127866E-04   8.291055E-05
  p  15    4.638602  -0.771398   0.564033   4.184411E-06   8.404629E-07
  s  16    5.831148  -1.318852   0.016579   6.752311E-05   1.356240E-05
 cl  17    3.941193  -1.288807   0.046624   9.635649E-07   1.935375E-07
 ar  18    5.107348  -1.332652   0.002779   1.443614E-05   2.899582E-06
  k  19    3.777587  -1.302413   0.033018   7.279052E-07   1.462039E-07
 ca  20    4.953624  -1.336376  -0.000945   1.119023E-05   2.247622E-06
 sc  21    1.977959  -1.072041   0.263390   1.326913E-08   2.665180E-09
 ti  22    3.595294  -1.314706   0.020725   5.861968E-07   1.177410E-07
  v  23    2.625669  -1.334331   0.001100   6.682046E-08   1.342127E-08
 cr  24    4.285611  -1.354389  -0.018958   3.123447E-06   6.273621E-07
 mn  25    4.146850  -1.333150   0.002281   2.392672E-06   4.805819E-07
 fe  26    6.204569  -1.335431   0.000000   2.779459E-04   5.582701E-05
 co  27    3.722129  -1.147871   0.187560   9.652771E-07   1.938814E-07
 ni  28    4.940737  -1.259263   0.076168   1.608037E-05   3.229834E-06
 cu  29    3.643093  -0.606907   0.728524   8.684374E-07   1.744306E-07
 zn  30    3.742459  -0.887541   0.447890   1.141672E-06   2.293113E-07
 ga  31    2.759340  -0.320660   1.014771   1.246434E-07   2.503533E-08
 ge  32    3.223712  -0.356288   0.979143   3.752445E-07   7.537000E-08
 as  33    1.772014  -0.527986   0.807445   1.376405E-08   2.764587E-09
 se  34    3.150164  -0.189836   1.145595   3.445919E-07   6.921325E-08
 br  35    2.015201  -0.524799   0.810632   2.588806E-08   5.199764E-09
 kr  36    3.386288   0.136288   1.471719   6.413473E-07   1.288183E-07
 rb  37    2.755004   0.235004   1.570435   1.521983E-07   3.056989E-08
 sr  38    2.931390   0.051390   1.386821   2.323585E-07   4.667053E-08
  y  39    2.243888   0.033888   1.369319   4.841148E-08   9.723723E-09
 zr  40    2.558822   0.028822   1.364253   1.037684E-07   2.084248E-08
 nb  41    1.307075  -0.102925   1.232506   5.850982E-09   1.175203E-09
 mo  42    1.642974  -0.297026   1.038405   1.318269E-08   2.647818E-09
 ru  44    1.294068  -0.465932   0.869499   6.158315E-09   1.236933E-09
 rh  45    0.246994  -0.813006   0.522425   5.642887E-10   1.133406E-10
 pd  46    1.194799  -0.455201   0.880230   5.153071E-09   1.035024E-09
 ag  47    0.424330  -0.775670   0.559761   8.911038E-10   1.789833E-10
 cd  48    1.291760  -0.418240   0.917191   6.819063E-09   1.369648E-09
 in  49    0.150745  -0.609255   0.726176   5.047932E-10   1.013906E-10
 sn  50    1.648868  -0.421132   0.914299   1.636284E-08   3.286570E-09
 sb  51    0.129466  -0.880534   0.454896   5.057332E-10   1.015794E-10
 te  52    1.189508  -0.990492   0.344939   5.986856E-09   1.202494E-09
  i  53    0.374601  -1.175399   0.160032   9.334154E-10   1.874818E-10
 xe  54    1.423517  -0.816483   0.518947   1.081084E-08   2.171419E-09
 cs  55    0.157669  -0.922331   0.413100   5.931863E-10   1.191449E-10
 ba  56    1.833726  -0.346274   0.989157   2.904639E-08   5.834133E-09
 la  57    0.583528  -0.586472   0.748959   1.652774E-09   3.319690E-10
 ce  58    0.944982  -0.635018   0.700413   3.833284E-09   7.699370E-10
 pr  59   -0.055245  -0.815245   0.520186   3.851628E-10   7.736215E-11
 nd  60    0.584229  -0.865771   0.469660   1.712998E-09   3.440654E-10
 sm  62   -0.151590  -1.091590   0.243841   3.271091E-10   6.570173E-11
 eu  63   -0.751888  -1.261888   0.073543   8.351289E-11   1.677404E-11
 gd  64   -0.159680  -1.209680   0.125751   3.365640E-10   6.760080E-11
 tb  65   -0.906412  -1.226412   0.109019   6.118650E-11   1.228966E-11
 dy  66    0.001628  -1.128372   0.207059   5.064438E-10   1.017221E-10
 ho  67   -0.780391  -1.250391   0.085039   8.487171E-11   1.704697E-11
 er  68   -0.195101  -1.115101   0.220330   3.315821E-10   6.660016E-11
 tm  69   -1.048261  -1.168261   0.167170   4.691334E-11   9.422813E-12
 yb  70   -0.063006  -0.983006   0.352425   4.636681E-10   9.313040E-11
 lu  71   -0.937065  -1.027065   0.308366   6.284090E-11   1.262195E-11
 hf  72   -0.177340  -0.887340   0.448091   3.689728E-10   7.411030E-11
 ta  73   -1.088807  -0.968807   0.366624   4.576592E-11   9.192347E-12
  w  74   -0.219563  -0.869563   0.465868   3.443154E-10   6.915771E-11
 re  75   -0.875339  -1.135339   0.200092   7.692075E-11   1.544997E-11
 os  76    0.122935  -1.227065   0.108365   7.822216E-10   1.571137E-10
 ir  77   -0.006072  -1.326072   0.009359   5.881185E-10   1.181270E-10
 pt  78    0.325939  -1.294061   0.041370   1.280625E-09   2.572209E-10
 au  79   -0.468171  -1.268171   0.067260   2.079534E-10   4.176863E-11
 hg  80    0.203260  -0.966740   0.368691   9.926165E-10   1.993727E-10
 tl  81   -0.062213  -0.832213   0.503218   5.493930E-10   1.103487E-10
 pb  82    1.007350  -1.032650   0.302781   6.539828E-09   1.313562E-09
 bi  83   -0.470179  -1.120179   0.215252   2.196026E-10   4.410843E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.2062   1.3735   0.7270  -0.6464  -0.4243      0.6192      8.2410
