#test case: AGB models
#description                       mass             Z   remnantmass
[evmodels]
5
m1.25_pmz2e-3                      1.20      1.60e-03          0.65
m2.5_pmz2e-3                       2.50      1.60e-03          0.68
m3.5_pmz1e-3                       3.50      1.60e-03          0.84
m5.0_nopmz                         5.00      1.60e-03          0.92
m6.5_nopmz                         6.50      1.60e-03          1.05

#species      type m1.25_pmz2e-3  m2.5_pmz2e-3  m3.5_pmz1e-3    m5.0_nopmz    m6.5_nopmz
[yields]
n         absolute -1.471363e-42  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
p         absolute  4.473632e-01  1.318096e+00  1.968754e+00  2.564781e+00  3.544006e+00
d         absolute  2.594550e-18  1.165604e-17  1.754472e-17  1.884581e-17  2.356095e-17
he3       absolute  1.828205e-04  2.707941e-04  2.391343e-04  1.188391e-06  8.152761e-07
he4       absolute  1.547773e-01  4.776356e-01  6.687055e-01  1.437014e+00  1.865095e+00
li7       absolute  3.147860e-10  2.431992e-10  3.593409e-08  1.150740e-11  2.143696e-11
be7       absolute  5.125381e-12  3.098377e-12  5.610248e-10  1.730962e-11  4.462027e-11
b8        absolute  2.761560e-25  2.838314e-28  1.467658e-24  5.131676e-21  3.064769e-20
c12       absolute  6.354925e-04  1.801320e-02  1.192900e-02  5.267604e-03  1.571268e-03
c13       absolute  2.925784e-06  8.348619e-06  5.858773e-05  7.561717e-04  3.687672e-04
c14       absolute  3.538207e-09  5.283237e-08  9.655302e-08  2.304355e-09  4.432846e-11
n13       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
n14       absolute  4.760103e-05  1.991147e-04  3.266988e-04  6.641746e-02  3.851159e-02
n15       absolute  5.633225e-09  1.855987e-08  9.583415e-09  1.608794e-06  3.348101e-06
o14       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
o15       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
o16       absolute  6.511717e-04  2.359424e-03  3.103007e-03  2.440708e-03  1.273656e-03
o17       absolute  4.148664e-07  1.137055e-05  6.814968e-06  6.165228e-06  6.532004e-06
o18       absolute  2.372256e-09  8.383283e-09  1.716250e-08  7.958161e-10  1.381266e-09
o19       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
f17       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
f18       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.874683e-40
f19       absolute  5.234970e-08  3.400391e-06  5.776857e-07  1.335848e-08  4.427745e-10
f20       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ne19      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ne20      absolute  5.747673e-05  2.052868e-04  2.707016e-04  4.856917e-04  5.355442e-04
ne21      absolute  5.134348e-08  1.583553e-06  1.777308e-06  9.368715e-07  4.825916e-08
ne22      absolute  4.643136e-05  2.446416e-03  1.423253e-03  1.768106e-03  2.676619e-04
ne23      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
na21      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
na22      absolute  2.079649e-31  1.147162e-23  2.486097e-14  1.261218e-10  3.768014e-10
na23      absolute  7.252703e-07  3.166906e-05  1.939225e-05  6.378461e-05  7.152701e-06
na24      absolute  0.000000e+00  0.000000e+00  0.000000e+00  2.274448e-41  3.933938e-35
mg23      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
mg24      absolute  3.392388e-05  1.188370e-04  1.557187e-04  1.170028e-04  3.551420e-06
mg25      absolute  1.283734e-07  2.633841e-05  6.297128e-05  4.037544e-04  3.184211e-04
mg26      absolute  1.598429e-07  3.250809e-05  1.519467e-04  1.100423e-03  3.354262e-04
mg27      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
al25      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
al-6      absolute  1.254010e-08  2.046579e-08  6.876830e-09  4.097612e-05  4.055037e-05
al*6      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
al27      absolute  3.376942e-07  2.012021e-06  4.946890e-06  9.790772e-05  6.701757e-05
al28      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
si27      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
si28      absolute  7.325145e-05  2.204546e-04  3.263420e-04  5.272856e-04  6.802972e-04
si29      absolute  5.350269e-08  6.783706e-07  1.647337e-06  9.219004e-06  3.603327e-06
si30      absolute  3.601699e-08  6.563545e-07  2.576608e-06  1.748696e-05  7.603223e-06
si31      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
si32      absolute  3.777266e-16  4.675547e-12  1.909213e-11  1.274366e-10  1.174518e-09
si33      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
p29       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
p30       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
p31       absolute  2.139517e-08  4.409969e-07  1.363641e-06  5.996469e-06  2.748270e-06
p32       absolute  9.642645e-20  1.193578e-15  4.873855e-15  3.253213e-14  2.998320e-13
p33       absolute  0.000000e+00  0.000000e+00  1.003045e-26  2.105491e-18 -2.178218e-18
p34       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
s32       absolute  2.770955e-05  8.290893e-05  1.211899e-04  1.823790e-04  2.479013e-04
s33       absolute  1.162165e-08  9.473122e-08  8.207609e-08  1.803751e-07  1.618971e-07
s34       absolute  4.724758e-08  1.631761e-07  2.706113e-07  5.469298e-07  5.349214e-07
s35       absolute  8.627978e-10  2.753842e-08  2.659948e-07  3.353527e-07  1.747897e-07
fe54      absolute  9.270710e-08  2.692020e-07  4.007997e-07  5.956747e-07  8.220481e-07
fe55      absolute  4.311749e-11  1.572998e-09  1.129608e-10  7.852385e-10  2.689847e-09
fe56      absolute  3.308740e-05  9.759943e-05  1.432316e-04  2.131419e-04  2.941601e-04
fe57      absolute  3.016914e-07  1.420731e-06  1.371396e-06  2.103296e-06  2.764753e-06
fe58      absolute  1.675459e-08  9.094009e-07  5.629021e-07  1.252423e-06  4.788577e-07
fe59      absolute  2.962527e-40 -8.639005e-42  2.379350e-29 -1.940851e-22 -2.842532e-19
